Number,Date,Account,Amount,Subcategory,Memo
0,31/07/2026,11-22-33 12345678,-1.00,Debit,SAMPLE GYM            	ON 30 JUL CPM	
0,31/07/2026,11-22-33 12345678,-3.20,Card Purchase,COFFEE SHOP A         	ON 30 JUL BCC	
0,31/07/2026,11-22-33 12345678,-3.20,Card Purchase,COFFEE SHOP A         	ON 30 JUL BCC	
0,29/07/2026,11-22-33 12345678,-18.00,Card Purchase,SAAS VENDOR B         USA	ON 28 JUL BCC	
0,23/07/2026,11-22-33 12345678,4.49,Card Purchase,RETAILER C            	ON 22 JUL BCC	
188911,22/07/2026,11-22-33 12345678,-10.00,Direct Debit,TELECOM D             	D26194801 DDR	
0,22/07/2026,11-22-33 12345678,20.00,Counter Credit,A PERSON              	A PERSON BGC	
0,06/07/2026,11-22-33 12345678,-7.77,Card Purchase,VENDOR E, INC.        USA	AMOUNT IN USD	,10.0
0,06/07/2026,11-22-33 12345678,0.01,Unpaid,04191000000021        C5UMG38O876XW5Z383 UNP
0,03/07/2026,11-22-33 12345678,-35.28,Debit,TAKEAWAY F            	ON 01 JUL CPM	
0,21/07/2026,11-22-33 12345678,-40.00,Debit,CASH MACHINE G        	ON 20 JUL ATM	
0,15/07/2026,11-22-33 12345678,-250.00,Debit,LANDLORD H            	RENT PAYMENT STO	

